Index,VehicleID,posX,posY,Speed,Angle,dBmVeh,dBmRSU,Dis2RSU,AvgDIS,AvgLET
0,6406,1299.3,17,31.9353,270,-1.77192,-84.5656,225.843,216.324,5741.44
1,6418,1730.15,33,31.6706,90,-1.88008,-83.365,205.309,190.84,171.042
2,6424,1759.44,29.8,31.7857,90,-1.79583,-84.4843,234.487,208.578,206.703
3,6430,1343.29,20.2,33.413,270,-1.79072,-82.6375,181.777,208.906,137.865
4,6436,1287.69,20.2,32.3621,270,-1.7285,-84.9575,237.356,249.922,211.181
5,6448,1324.57,23.4,33.1738,270,-1.74123,-83.481,200.439,220.195,730.78
6,6454,1740.26,26.6,33.3992,90,-1.70423,-83.7052,215.269,217.963,151.868
7,6460,1754.75,26.6,34.5551,90,-1.74185,-84.3003,229.754,230.262,48.7311
8,6466,1384.87,20.2,31.6984,270,-1.72866,-80.4676,140.212,172.473,715.179
9,6472,1309.73,23.4,33.1625,270,-1.78333,-84.1163,215.272,230.814,725.468
10,6478,1709.5,29.8,31.9571,90,-1.88065,-82.4242,184.563,179.928,198.173
11,6484,1677.91,26.6,32.0564,90,-1.75003,-80.7212,152.922,179.955,230.637
12,6490,1449.54,17,31.6937,270,-1.81244,-75.2775,75.8851,160.291,5833.51
13,6496,1572.95,33,31.026,90,-1.87281,-71.3079,48.6115,148.744,855.716
14,6502,1600.55,29.8,31.5395,90,-1.83908,-74.798,75.7048,153.821,217.937
15,6508,1616.13,26.6,31.7875,90,-1.80067,-76.2538,91.1453,157.452,1112.67
16,6514,1486.82,20.2,32.2694,270,-1.76322,-69.6195,38.4832,149.901,1543.04
17,6520,1516.39,17,31.4796,270,-1.7593,-60.6474,11.7515,145.937,302.92
18,6526,1507.57,23.4,31.6078,270,-1.87453,-63.2301,17.4984,146.343,428.062
19,6532,1525.96,33,31.1062,90,-1.79134,-58.7004,8.05713,145.424,338.484
20,6538,1539.41,20.2,31.9477,270,-1.87253,-61.7242,15.1898,145.356,516.377
21,6544,1571.63,26.6,33.0047,90,-1.82261,-70.5609,46.6621,148.219,243.38
22,6550,1551.07,23.4,32.8559,270,-1.95941,-64.7987,26.1206,145.935,248.552
23,6556,1440.78,33,31.7811,90,-1.94193,-75.6229,84.6031,163.184,1135.86
24,6562,1522.35,29.8,32.4966,90,-1.74441,-56.9804,5.48244,145.234,255.074
25,6568,1525.79,26.6,32.3008,90,-1.77189,-55.6342,1.78431,148.462,256.015
26,6574,1595.76,23.4,32.5927,270,-1.74914,-73.4565,70.7737,160.904,2814.86
27,6580,1405.51,29.8,31.0167,90,-1.97126,-78.5501,119.588,177.494,826.015
28,6586,1617.25,17,32.3577,270,-1.84592,-75.8292,92.6001,168.507,194.467
29,6592,1671.08,17,31.88,270,-1.83325,-79.8486,146.298,193.115,128.77
30,6598,1432.02,26.6,32.5863,90,-1.86945,-76.393,92.9951,165.994,301.052
31,6604,1686.36,23.4,32.764,270,-1.56467,-80.7545,161.37,202.338,435.693
32,6610,1382.85,26.6,33.0224,90,-1.63788,-80.0494,142.158,205.26,122.426
33,6616,1321.52,33,31.2453,90,-1.74747,-83.1878,203.638,222.846,186.024
34,6622,1477.27,26.6,33.4687,90,-1.84491,-70.6524,47.756,152.044,184.874
35,6628,1716.52,17,31.3046,270,-1.78265,-82.2585,191.69,201.069,174.376
36,6634,1642.57,23.4,32.2836,270,-1.92608,-77.9409,117.58,165.569,2629.91
37,6640,1279.79,33,31.4873,90,-1.68374,-84.8179,245.344,257.494,139.972
38,6646,1274.31,29.8,32.1829,90,-1.82567,-84.9745,250.734,262.554,350.579
39,6652,1313.66,26.6,32.2117,90,-1.73665,-83.4943,211.343,227.864,376.04
40,6658,1760.27,17,31.7887,270,-1.72539,-84.0186,235.41,235.482,227.94
41,6664,1722.37,20.2,34.3686,270,-1.76743,-82.5186,197.427,204.609,44.976
42,6688,1768.54,20.2,32.1388,270,-1.65009,-84.3231,243.592,243.009,266.16
43,6694,1737.4,23.4,33.0389,270,-1.67912,-83.1348,212.404,215.626,126.05
