Index,VehicleID,posX,posY,Speed,Angle,dBmVeh,dBmRSU,Dis2RSU,AvgDIS,AvgLET
0,2638,1288.07,17,31.9328,270,-4.03396,-84.9765,237.061,252.565,83.6008
1,2644,1748.68,29.8,31.5664,90,-4.40596,-84.0839,223.732,233.3,65.1766
2,2650,1758.85,33,31.5664,90,-3.92185,-84.4663,233.986,243.072,63.7555
3,2674,1358.37,17,32.842,270,-4.09001,-81.9247,166.826,198.184,149.178
4,2680,1728.78,29.8,32.7581,90,-3.98018,-83.276,203.832,216.403,85.3879
5,2692,1359.01,23.4,35.2616,270,-4.09101,-81.8393,166,197.23,71.9839
6,2698,1545.61,17,31.7344,270,-3.65524,-64.7045,22.1125,141.905,106.968
7,2704,1564.37,33,32.1781,90,-4.15263,-69.9495,40.1704,143.943,527.721
8,2710,1701.03,26.6,35.0868,90,-4.20148,-81.9394,176.038,195.61,41.0802
9,2716,1538.89,20.2,33.0865,270,-3.84305,-60.9905,14.699,141.846,243.381
10,2722,1500.95,33,32.1395,90,-4.08397,-66.4701,25.3459,147.564,523.507
11,2728,1553.43,23.4,35.6776,270,-3.60911,-65.4808,28.4765,141.871,114.792
12,2734,1483.25,29.8,34.2258,90,-3.76709,-69.4442,42.0239,151.742,83.372
13,2740,1375.81,33,30.9024,90,-4.05023,-80.509,149.402,189.781,44.5709
14,2746,1655.8,17,32.9724,270,-4.38297,-78.8757,131.041,171.086,223.334
15,2752,1697.81,23.4,34.4118,270,-4.03383,-81.3196,172.813,193.545,55.7828
16,2758,1292.4,33,32.6381,90,-3.62875,-84.3661,232.742,248.291,79.1701
17,2764,1657.59,23.4,36.8616,270,-4.14478,-79.0048,132.599,171.559,59.6508
18,2770,1611.33,23.4,36.1393,270,-4.17097,-75.3495,86.3459,154.994,95.6936
19,2782,1309.8,29.8,33.6538,90,-3.58917,-83.6678,215.251,232.987,63.8045
20,2806,1350.31,26.6,43.5277,90,-3.61048,-81.7921,174.693,202.642,9.70304
