Index,VehicleID,posX,posY,Speed,Angle,dBmVeh,dBmRSU,Dis2RSU,AvgDIS,AvgLET
0,1834,1520.2,1583.62,6.21471,177.052,-1.63815,-73.2975,58.8211,119.081,28.3916
1,1924,1477.75,1507.33,9.4714,203.736,-1.76648,-72.3374,50.4433,118.552,21.9883
2,1990,1433.03,1520.2,11.8482,270,-1.79416,-76.7952,92.0943,142.757,26.493
3,1996,1477.88,1529.87,14.2299,173.998,-1.64914,-71.1133,47.3708,117.592,23.2261
4,2008,1299.18,1520.2,15.4679,270,-3.76268,-84.5242,225.873,249.5,16.2521
5,2062,1570.66,1512.61,7.08387,345.311,-1.74355,-70.8671,47.3107,106.687,31.9895
6,2080,1467.1,1520.2,5.33134,264.766,-1.68497,-73.028,58.0979,122.343,45.0793
7,2086,1716.83,1529.8,18.3631,90,-1.89357,-82.7047,191.888,205.188,13.138
8,2098,1505.71,1481.86,13.7621,249.204,-1.67114,-71.4964,47.254,114.482,21.5966
9,2104,1545.3,1478.79,12.3334,296.294,-1.78057,-72.3069,50.4684,111.794,22.5455
10,2110,1561.5,1555,6.69177,41.5641,-1.74045,-71.6692,47.2436,109.76,31.8107
11,2116,1580.36,1523.39,4.47805,270.169,-1.65615,-71.5225,55.3846,107.901,64.9153
12,2134,1529.8,1311.64,15.5243,0,-3.08367,-84.0294,213.411,231.587,16.7555
13,2140,1520.2,1627.59,14.5288,180,-1.80295,-77.9718,102.705,148.217,24.1745
14,2146,1628.94,1529.8,14.6617,90,-1.6787,-77.4668,104.051,133.663,188.071
15,2152,1529.8,1343.08,17.8934,0,-2.01099,-82.6824,181.979,203.085,15.9828
16,2158,1529.8,1458.5,7.59774,0,-1.70822,-74.0861,66.6723,119.494,33.7625
17,2164,1592.28,1523.4,2.68418,270,-1.74105,-73.2131,67.2987,111.978,87.7908
18,2170,1512.69,1573.96,5.06771,107.63,-1.66739,-72.0815,50.4837,116.009,31.0272
19,2176,1575.31,1532.55,6.3694,15.7689,-1.67707,-71.4738,50.8777,107.27,34.8405
20,2182,1584.42,1520.2,4.82195,270,-1.69471,-72.1589,59.6103,109.211,63.8326
21,2188,1526.6,1580.56,0,0,-1.6704,-72.2643,55.5834,117.055,52.0997
22,2194,1597.4,1520.2,2.45217,270,-1.67723,-73.8613,72.5567,114.386,93.2685
23,2200,1523.4,1461.99,0,180,-1.74096,-73.0487,63.0315,118.196,53.321
24,2206,1593.06,1529.8,8.68999,90,-1.5954,-73.8304,68.2307,112.735,26.8926
25,2212,1526.6,1595.46,0,0,-1.68153,-74.2966,70.4802,125.28,51.0703
26,2218,1523.4,1469.44,0,180,-1.70335,-71.9719,55.5834,115.12,53.2898
27,2224,1602.52,1523.4,0,270,-1.66887,-74.4354,77.5397,116.902,65.0503
28,2230,1498.14,1567.69,7.64878,124.44,-1.65034,-72.1063,50.437,117.881,25.7393
29,2236,1365.7,1520.2,17.7816,270,-1.88016,-81.4969,159.368,191.175,19.2619
30,2242,1511.98,1570.45,13.6462,108.727,-1.67979,-71.5526,47.2741,114.843,22.5221
31,2248,1570.26,1547.22,6.61604,28.854,-1.72565,-72.0183,50.4175,109.105,34.6655
32,2254,1608.21,1520.2,1.96822,270,-1.71717,-75.0635,83.351,120.215,77.5104
33,2260,1370.66,1529.8,14.6267,90,-1.97585,-80.7819,154.419,187.453,241.61
34,2266,1469.43,1526.6,0,90,-1.6873,-71.9877,55.5892,121.216,63.9684
35,2272,1653.44,1523.4,14.9684,270,-1.91044,-78.7551,128.449,151.553,41.5191
36,2278,1526.6,1588.01,0,0,-1.64292,-73.3391,63.0315,120.83,51.5961
37,2284,1631.48,1523.4,15.4201,270,-1.82531,-77.1712,106.489,135.145,47.2428
38,2290,1529.8,1742.57,14.1432,0,-3.46957,-84.0325,217.625,243.812,56.257
39,2296,1523.4,1454.54,0,180,-1.74779,-74.0078,70.4805,121.923,53.3238
40,2302,1523.4,1447.04,0,180,-1.76326,-74.8769,77.9757,126.281,53.2764
41,2308,1316.22,1529.8,14.6965,90,-3.17395,-83.4108,208.83,233.721,171.612
42,2314,1687.21,1523.4,15.9901,270,-1.94728,-80.7841,162.218,179.084,35.4442
43,2320,1342.5,1529.8,15.1589,90,-2.01031,-82.2497,182.56,210.499,47.7539
44,2326,1520.2,1379.02,16.4977,180,-1.87343,-80.308,146.06,174.14,19.8956
45,2344,1529.8,1767.64,14.3023,0,-3.9783,-84.9834,242.685,266.914,54.5309
46,2380,1523.4,1356.77,19.0961,180,-2.01684,-81.5014,168.24,191.633,15.7978
47,2422,1760.67,1520.2,19.7193,270,-3.14327,-84.0347,235.714,245.857,13.7252
