Index,VehicleID,posX,posY,Speed,Angle,dBmVeh,dBmRSU,Dis2RSU,AvgDIS,AvgLET
0,1204,1520.2,1683.1,14.6858,180,-4.16549,-81.6801,158.174,176.618,104.048
1,1210,1771.96,1529.8,15.9861,90,-8.06765,-84.8929,247.012,287.587,21.5191
2,1216,1520.2,1747.43,14.8612,180,-7.79405,-84.6402,222.48,227.842,101.527
3,1222,1497.83,1563.64,12.5797,128.167,-3.65499,-71.4808,47.2324,119.366,22.6953
4,1228,1529.8,1466.58,5.81056,356.713,-4.56709,-73.1424,58.6141,141.078,23.3861
5,1234,1434.28,1520.2,11.9514,270,-4.12942,-76.674,90.8507,142.578,18.7784
6,1240,1633.57,1529.8,14.9441,90,-4.11924,-77.8265,108.675,168.313,40.3963
7,1246,1580.29,1529.82,6.5149,65.7988,-4.02609,-73.0006,55.4966,133.332,21.6846
8,1258,1465.44,1520.2,6.98571,268.585,-3.79917,-73.1226,59.7545,125.688,24.8031
9,1264,1519.99,1578.96,6.94018,143.101,-3.679,-72.7845,54.1881,121.813,25.5548
10,1270,1560.08,1488.7,11.5283,317.494,-4.492,-72.2455,50.4806,135.036,24.2824
11,1276,1562.06,1495.64,11.3734,325.113,-4.43801,-71.5934,47.2786,132.808,24.7456
12,1282,1520.2,1600.97,10.512,180,-3.85565,-75.3972,76.1193,129.497,26.4753
13,1294,1478.22,1505.96,10.8574,205.836,-4.47335,-72.4098,50.5081,124.974,23.1631
14,1300,1575.22,1521.86,4.14304,287.212,-4.01545,-71.2124,50.3137,131.554,26.3291
15,1306,1469.44,1526.6,0,90,-3.80932,-71.987,55.5852,123.441,26.5919
16,1312,1482.92,1503.57,14.6049,209.869,-4.45555,-71.938,47.2234,124.764,19.9878
17,1318,1318.73,1529.8,14.7044,90,-6.16498,-83.311,206.322,227.354,46.3745
18,1324,1293.94,1529.8,15.5149,90,-6.60552,-84.2802,231.107,249.303,31.6701
19,1330,1526.6,1648.28,17.4612,0,-4.10801,-79.0751,123.294,154.16,36.955
20,1342,1529.8,1739.27,16.8506,0,-6.05983,-83.8921,214.325,221.039,34.7454
21,1372,1520.2,1278.77,18.1626,180,-13.4835,-84.831,246.275,297.512,9.96413
