Index,VehicleID,posX,posY,Speed,Angle,dBmVeh,dBmRSU,Dis2RSU,AvgDIS,AvgLET
0,1912,1518.92,1525.13,0,77.2882,-0.890574,-56.1446,6.08384,63.1977,333.251
1,2140,1510.62,1526.6,0,90,-0.894501,-61.1132,14.4678,64.3466,124.741
2,2374,1501.65,1526.6,2.93877,90,-0.89908,-64.7533,23.4049,66.5143,889.625
3,2404,1521.39,1520.2,7.30319,270,-0.893176,-56.7427,6.00886,63.4046,55.6558
4,2464,1534.71,1529.8,8.57887,90,-0.896503,-60.8479,10.8324,63.7047,36.0503
5,2494,1459.4,1523.4,14.9054,270,-0.922814,-73.8645,65.6235,87.1136,21.1469
6,2566,1531.09,1524.87,0,257.339,-0.889561,-55.7393,6.09347,63.1116,327.519
7,2602,1500.81,1529.8,3.18891,90,-0.901597,-65.5889,24.6665,66.7987,109.17
8,2608,1490.36,1526.6,1.33155,90,-0.883097,-67.986,34.6815,70.2878,158.423
9,2662,1543.02,1533,10.8983,90,-0.910855,-65.1194,19.7169,65.7737,29.2726
10,2668,1538.89,1523.4,0,270,-0.895107,-60.3968,13.9858,64.1575,125.522
11,2692,1516.68,1529.8,6.26521,90,-0.896572,-59.9365,9.6071,64.4784,67.4448
12,2704,1524.13,1517,6.26068,270,-0.895936,-57.7984,8.04768,63.8744,52.1548
13,2740,1481.31,1526.6,0,90,-0.903369,-69.9406,43.716,74.1005,121.359
14,2746,1539.59,1520.2,3.95662,270,-0.8955,-61.8152,15.355,64.5858,68.2225
15,2764,1505.66,1533,5.23644,90,-0.903275,-65.3276,20.933,65.8744,58.9601
16,2770,1559.04,1523.4,2.08627,270,-0.913695,-67.4001,34.0748,69.8732,126.747
17,2776,1522.4,1533,7.5876,90,-0.898505,-58.9381,8.4119,64.207,49.8212
18,2782,1540.04,1517,4.25421,270,-0.899764,-63.3394,17.0311,66.1047,139.348
19,2788,1517,1689.17,19.2446,180,-1.07759,-82.0529,164.363,174.316,27.7654
20,2800,1473.24,1526.6,0,90,-0.918424,-71.3821,51.782,78.1721,120.283
21,2806,1546.95,1523.4,3.93208,270,-0.899124,-63.7468,22.0069,67.0451,587.559
22,2818,1552.12,1520.2,1.4793,270,-0.901654,-65.823,27.5407,67.6382,149.043
23,2830,1489.53,1529.8,0,90,-0.905012,-68.4392,35.7947,70.5895,121.854
24,2836,1465.81,1526.6,0,90,-0.925379,-72.5277,59.2119,82.5217,119.235
25,2848,1568.9,1523.4,0,270,-0.916824,-69.5635,43.9314,74.1929,121.949
26,2854,1492.39,1533,2.9335,90,-0.903247,-68.3847,33.5794,69.8387,888.316
27,2866,1552.44,1517,1.25819,270,-0.912284,-66.5985,28.5865,68.6565,122.6
28,2878,1481.33,1529.8,0,90,-0.901277,-70.101,43.9305,74.0455,120.827
29,2884,1561.17,1520.2,0,270,-0.913402,-68.0905,36.4854,70.8745,122.322
30,2890,1517,1654.89,18.0008,180,-1.065,-80.0315,130.133,144.424,37.1365
31,2896,1465.81,1529.8,0,90,-0.926366,-72.6083,59.3844,82.4613,118.702
32,2908,1568.89,1520.2,0,270,-0.916146,-69.6556,44.148,74.3174,121.32
33,2914,1481.67,1533,1.00092,90,-0.906643,-70.366,44.0645,74.1768,191.725
34,2926,1569.1,1517,0,270,-0.923774,-69.9464,44.8239,74.8973,120.656
35,2932,1526.6,1522.18,0,0,-0.895875,-56.2032,3.24032,63.0478,136.615
36,2938,1473.24,1533,0,90,-0.909103,-71.7363,52.3716,78.3832,119.212
37,2944,1561.26,1517,0,270,-0.91477,-68.5098,37.1348,71.4003,121.674
38,2956,1473.24,1529.8,0,90,-0.912379,-71.4884,51.9792,78.1103,119.749
39,2962,1584.19,1520.2,0,270,-0.944883,-72.1471,59.3845,83.1459,119.158
40,2974,1526.6,1539.6,0,0,-0.900254,-61.5368,14.6847,65.1129,136.479
