Index,VehicleID,posX,posY,Speed,Angle,dBmVeh,dBmRSU,Dis2RSU,AvgDIS,AvgLET
0,1810,1533.59,1529.8,8.07116,90,-1.7535,-60.3213,9.83734,69.7388,75.9848
1,1846,1513.84,1517,8.95027,270,-1.77547,-62.7006,13.7298,70.5612,127.977
2,1852,1542.28,1533,10.5293,90,-1.78008,-64.8161,19.0393,70.4691,44.8252
3,1858,1511.74,1520.2,8.61968,270,-1.71696,-62.7656,14.1044,70.2421,138.257
4,1876,1523.85,1526.6,8.22548,90,-1.70412,-55.1548,1.96812,70.9335,70.9535
5,1882,1533.18,1523.4,6.00533,270,-1.75734,-57.1139,8.33441,70.2322,128.197
6,1900,1528.89,1520.2,7.82435,270,-1.75122,-57.7583,6.18084,70.0266,80.4393
7,1906,1516.33,1529.8,5.33103,90,-1.79772,-60.17,9.90672,72.5535,66.5814
8,1912,1504.07,1526.6,4.85878,90,-1.78386,-63.8196,20.9954,77.013,114.362
9,1930,1512.84,1523.4,9.66676,270,-1.84071,-60.7123,12.2618,69.589,94.7731
10,1936,1545.84,1529.8,11.2907,90,-1.81069,-64.7652,21.3857,69.6199,42.4217
11,1942,1546.96,1523.4,4.73183,270,-1.76663,-63.7545,22.0173,74.0018,155.35
12,1954,1519.83,1533,7.12625,90,-1.80836,-59.9021,9.52323,72.686,66.0548
13,1966,1545.81,1520.2,4.83492,270,-1.76534,-63.9493,21.3563,73.6683,123.083
14,1972,1501.72,1529.8,3.53412,90,-1.77997,-65.3049,23.7649,77.6932,103.891
15,1984,1534.27,1517,5.37661,270,-1.7729,-61.3691,12.2479,71.1023,128.538
16,1996,1490.63,1526.6,1.41862,90,-1.84995,-67.9212,34.4052,82.4838,110.255
17,2002,1559.21,1523.4,2.4492,270,-1.79833,-67.4548,34.2434,78.6245,83.5377
18,2020,1480.94,1529.8,0,90,-1.89442,-70.1743,44.3239,88.318,80.1047
19,2038,1547.97,1517,3.64892,270,-1.79518,-65.5157,24.3217,74.5117,142.908
20,2044,1504.2,1533,4.79451,90,-1.79212,-65.6897,22.2814,77.6888,101.279
21,2050,1558.23,1520.2,2.57138,270,-1.84482,-67.3969,33.5797,78.2555,110.577
22,2056,1576.76,1523.4,0,270,-1.89698,-70.9667,51.782,87.7828,83.2027
23,2062,1520.2,1734.27,20.0604,180,-2.48761,-84.1191,209.329,211.675,21.4121
24,2068,1475.33,1526.6,2.10664,90,-1.91193,-71.0208,49.6977,93.5215,79.8299
25,2074,1533,1539.59,0,0,-1.80705,-63.8859,16.6431,72.9559,92.7288
26,2080,1569.12,1523.4,0,270,-1.87402,-69.6052,44.1473,83.0268,83.3922
27,2086,1520.2,1475.18,18.2446,180,-2.03758,-71.0713,50.0529,105.369,61.0926
28,2092,1489.89,1529.8,1.40119,90,-1.86137,-68.3533,35.4415,83.1313,80.5902
29,2098,1572.03,1520.2,6.62591,270,-1.87069,-70.207,47.2787,89.1053,78.6757
30,2104,1517,1496.19,13.7823,180,-1.9288,-67.3157,29.8992,88.1933,65.3901
31,2110,1529.8,1539.6,0,0,-1.79862,-62.663,15.3653,72.7382,93.0393
32,2116,1661.36,1520.2,17.5368,270,-2.25939,-79.3011,136.443,167.544,26.9392
33,2122,1379.35,1526.6,18.2449,90,-2.43669,-80.2707,145.66,189.758,598.592
34,2128,1517,1327.35,17.4494,180,-2.36215,-82.9277,197.81,230.068,41.5334
35,2134,1688.76,1517,18.7195,270,-2.24315,-80.9176,163.958,192.981,29.6173
36,2140,1293.9,1529.8,17.7535,90,-2.97257,-84.2873,231.152,270.094,594.785
37,2146,1465.55,1526.6,0,90,-1.89105,-72.5652,59.4737,99.7514,79.2118
38,2164,1624.07,1523.4,21.1374,270,-2.16306,-76.5401,99.0861,139.532,80.6461
39,2182,1764.28,1517,20.4105,270,-2.95456,-84.1692,239.418,266.091,75.166
